epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.1309,0.9565,1.72954,1.29423,0.81997,0.6239,0.76524,0.59537,0.7479,1.81563,1.08197,0.000331909,0.000331909,0.067141
2,154.713,0.89073,1.13422,1.23533,0.85443,0.85472,0.94983,0.75503,0.63269,9.15798,0.98535,0.000658656,0.000658656,0.0341344
3,230.043,0.89374,1.06052,1.23093,0.49035,0.33446,0.37438,0.24479,1.28705,3.35038,1.44491,0.000978804,0.000978804,0.00112125
4,304.853,0.83714,0.93828,1.18523,0.87956,0.88566,0.96648,0.81521,0.50669,1.65271,0.88437,0.0009703,0.0009703,0.0009703
5,380.398,0.81052,0.86243,1.17813,0.9654,0.96747,0.98963,0.84817,0.50479,4.69307,0.8727,0.0009604,0.0009604,0.0009604
6,458.847,0.7827,0.81735,1.15813,0.93964,0.96873,0.98159,0.85677,0.45242,1.6609,0.82857,0.0009505,0.0009505,0.0009505
7,546.135,0.76257,0.75645,1.14244,0.9284,0.95453,0.97933,0.83137,0.48882,1.65031,0.87012,0.0009406,0.0009406,0.0009406
8,639.088,0.73712,0.72969,1.12751,0.96283,0.96133,0.98971,0.86737,0.42906,2.47645,0.81088,0.0009307,0.0009307,0.0009307
9,717.928,0.72603,0.69389,1.11947,0.96803,0.98086,0.99273,0.86597,0.4573,0.74138,0.84666,0.0009208,0.0009208,0.0009208
10,797.739,0.72371,0.70421,1.11702,0.98241,0.98288,0.99487,0.87747,0.4275,0.777,0.8164,0.0009109,0.0009109,0.0009109
11,877.523,0.67942,0.6342,1.08284,0.97875,0.9705,0.98709,0.86729,0.43933,1.01385,0.83856,0.000901,0.000901,0.000901
12,963.469,0.6959,0.64802,1.09921,0.97988,0.98991,0.99222,0.88055,0.41717,1.04484,0.80711,0.0008911,0.0008911,0.0008911
13,1049.77,0.69055,0.63327,1.09521,0.97585,0.98933,0.99273,0.88023,0.41272,0.34777,0.82499,0.0008812,0.0008812,0.0008812
14,1136.32,0.68225,0.62148,1.09699,0.98946,0.99024,0.99444,0.89683,0.37981,1.19767,0.784,0.0008713,0.0008713,0.0008713
15,1226.02,0.67256,0.58724,1.08954,0.99129,0.98553,0.99456,0.89854,0.37513,0.84694,0.77172,0.0008614,0.0008614,0.0008614
16,1315.71,0.64997,0.55216,1.06543,0.98254,0.98442,0.99418,0.8943,0.38666,1.07729,0.77952,0.0008515,0.0008515,0.0008515
17,1403.42,0.65436,0.57932,1.07357,0.96672,0.97278,0.99227,0.88662,0.40115,0.35541,0.80103,0.0008416,0.0008416,0.0008416
18,1495.55,0.63565,0.5534,1.05974,0.98736,0.99892,0.99369,0.90361,0.36056,2.06124,0.76584,0.0008317,0.0008317,0.0008317
19,1586.77,0.65043,0.55849,1.07488,0.99599,0.99749,0.99495,0.90518,0.36248,0.50335,0.76555,0.0008218,0.0008218,0.0008218
20,1677.05,0.64272,0.54674,1.06516,0.99248,0.9927,0.99461,0.90532,0.36109,1.49583,0.76009,0.0008119,0.0008119,0.0008119
21,1767.15,0.63133,0.53638,1.05691,0.99072,0.98875,0.9946,0.89896,0.37486,0.46679,0.77176,0.000802,0.000802,0.000802
22,1857.38,0.62536,0.5163,1.05622,0.98711,0.99714,0.99488,0.9079,0.35952,0.48863,0.7591,0.0007921,0.0007921,0.0007921
23,1947.95,0.62271,0.51704,1.05665,0.99443,0.99235,0.99497,0.91191,0.35477,0.64765,0.75304,0.0007822,0.0007822,0.0007822
24,2038.7,0.61439,0.51149,1.05784,0.99124,0.99181,0.99481,0.91237,0.33626,0.29602,0.74164,0.0007723,0.0007723,0.0007723
25,2129.89,0.61752,0.51476,1.05275,0.99592,0.99039,0.99488,0.90746,0.35265,0.24879,0.76101,0.0007624,0.0007624,0.0007624
26,2221.46,0.60782,0.50017,1.04438,0.99244,0.99202,0.99325,0.90316,0.34579,1.31258,0.75572,0.0007525,0.0007525,0.0007525
27,2302.29,0.59584,0.48221,1.04124,0.99205,0.99308,0.99493,0.91702,0.33337,0.28822,0.74357,0.0007426,0.0007426,0.0007426
28,2377.36,0.60219,0.48866,1.04686,0.99583,0.99733,0.995,0.91549,0.34581,0.59714,0.75335,0.0007327,0.0007327,0.0007327
29,2452.71,0.58664,0.48228,1.0341,0.99286,0.99733,0.995,0.91059,0.35328,0.35162,0.75845,0.0007228,0.0007228,0.0007228
30,2528.5,0.59557,0.48322,1.04184,0.99177,0.99346,0.99493,0.91699,0.33511,0.31661,0.74128,0.0007129,0.0007129,0.0007129
